,Contents,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
18,,,F,0.6,,0.8,u,1,,0.4,u,0.4,u,0.7,u,0.7,,0.4,u,0.5,,0.8,
19,,,,,,,,,,,,,,,,,,,,,,,
20,C02,Malignant neoplasm of other and unspecified parts of tongue,M,3.3,,3.3,,4.5,,3.7,,2.3,,3.1,,3.4,,3.2,,3.2,,2.7,
21,,,F,2,,2.1,,2.3,,1.9,,2.2,,1.7,,1.7,,2.2,,2.2,,1.9,
22,,,,,,,,,,,,,,,,,,,,,,,
23,C03,Malignant neoplasm of gum,M,0.9,,0.8,u,0.9,,0.7,u,1.1,,0.7,u,0.8,,1,,0.8,,1.1,
24,,,F,0.7,,,u,0.6,,0.7,u,0.7,u,0.7,,0.8,,1,,0.6,,0.5,u
25,,,,,,,,,,,,,,,,,,,,,,,
26,C04,Malignant neoplasm of floor of mouth,M,1.3,,1.5,u,2,,1.8,,1.2,,1.3,,0.9,,1.3,,1.1,,0.9,
27,,,F,0.5,,,u,0.6,,0.8,,0.6,u,0.7,u,0.5,u,0.4,u,0.4,u,0.5,u
28,,,,,,,,,,,,,,,,,,,,,,,
29,C05,Malignant neoplasm of palate,M,1,,1.1,u,1.2,,1.3,,1,,0.7,u,1,,1.1,,0.7,,1,
30,,,F,0.7,,0.8,u,0.6,,0.7,u,0.8,u,0.7,u,0.5,u,0.7,,0.6,,0.6,u
31,,,,,,,,,,,,,,,,,,,,,,,
32,C06,Malignant neoplasm of other and unspecified parts of mouth,M,1.2,,1.7,u,1.6,,1.2,,1.2,,1,,1,,1.7,,1,,0.8,
33,,,F,1,,1.3,u,1.2,,1,,0.8,,0.6,u,1.1,,1.2,,0.9,,0.7,
34,,,,,,,,,,,,,,,,,,,,,,,
35,C07,Malignant neoplasm of parotid gland,M,1.2,,1,u,1.2,,1.2,,1.2,,1.1,,1.5,,1,,1.2,,1.3,
36,,,F,0.8,,1.3,u,0.5,u,0.9,,0.7,u,0.5,u,0.8,,1,,0.8,,0.9,
37,,,,,,,,,,,,,,,,,,,,,,,
38,C08,Malignant neoplasm of other and unspecified major salivary glands,M,0.3,,,u,,u,,u,,u,0.6,u,,u,0.3,u,0.4,u,,u
39,,,F,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,0.4,u
40,,,,,,,,,,,,,,,,,,,,,,,
41,C09,Malignant neoplasm of tonsil,M,3.9,,3.6,,5,,4.2,,3,,3.7,,3.9,,2.9,,3.7,,4.7,
42,,,F,1.3,,1.5,,1.6,,1.4,,1.2,,1,,1.1,,1.2,,1.3,,1.3,
43,,,,,,,,,,,,,,,,,,,,,,,
44,C10,Malignant neoplasm of oropharynx,M,0.8,,0.8,u,1.1,,1.1,,0.7,u,0.7,u,0.5,u,1.1,,0.5,,0.7,u
45,,,F,0.2,,,u,,u,0.4,u,,u,,u,,u,,u,,u,,u
46,,,,,,,,,,,,,,,,,,,,,,,
47,C11,Malignant neoplasm of nasopharynx,M,0.6,,1,u,0.8,,0.8,u,0.5,u,0.7,u,0.5,u,0.7,,0.5,,,u
48,,,F,0.2,,,u,0.3,u,,u,,u,,u,,u,,u,,u,,u
49,,,,,,,,,,,,,,,,,,,,,,,
50,C12,Malignant neoplasm of pyriform sinus,M,0.9,,1.5,u,1.5,,0.8,,0.7,u,1.1,,0.5,u,1.2,,0.7,,0.8,
51,,,F,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u
52,,,,,,,,,,,,,,,,,,,,,,,
53,C13,Malignant neoplasm of hypopharynx,M,0.7,,1,u,0.7,,0.7,u,0.7,u,0.6,u,0.6,u,0.8,,0.4,u,0.6,u
54,,,F,0.2,,,u,0.3,u,,u,,u,,u,,u,,u,0.2,u,,u
55,,,,,,,,,,,,,,,,,,,,,,,
56,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",M,0.3,,0.8,u,0.3,u,,u,,u,0.5,u,,u,,u,,u,,u
57,,,F,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u
58,,,,,,,,,,,,,,,,,,,,,,,
59,C15,Malignant neoplasm of oesophagus,M,22.2,,23.5,,25.9,,23.7,,22.8,,24.5,,20.7,,17.4,,21.1,,21.1,
60,,,F,8.9,,8.3,,11.2,,9.4,,9.6,,9.4,,7.8,,8.3,,7.9,,8.3,
61,,,,,,,,,,,,,,,,,,,,,,,
62,C16,Malignant neoplasm of stomach,M,17.3,,20.2,,19.5,,19.4,,20.5,,19,,15.9,,16.7,,13.4,,14.8,
63,,,F,7.3,,10.7,,9.2,,8.2,,6.5,,8,,6,,8.1,,5.7,,6,
64,,,,,,,,,,,,,,,,,,,,,,,
65,C17,Malignant neoplasm of small intestine,M,2.9,,3.6,,3.2,,3.3,,2.8,,3.1,,2.6,,2.9,,2.6,,2.8,
66,,,F,2.1,,1.8,,2.4,,2.4,,1.5,,1.9,,2.2,,1.8,,2.2,,2.5,
67,,,,,,,,,,,,,,,,,,,,,,,
68,C18-C20,Malignant neoplasm of colon and rectum,M,86.8,,97.1,,95.2,,87.9,,88.8,,89.3,,81.6,,77.9,,84,,85.3,
69,,,F,56.2,,55.3,,57.1,,53.9,,55.5,,56.4,,60.1,,48.9,,56.2,,60.9,
70,,,,,,,,,,,,,,,,,,,,,,,
71,C18,Malignant neoplasm of colon,M,54.7,,57.6,,59,,54.4,,56.6,,56.7,,50.8,,50.5,,53.7,,54.7,
72,,,F,40.4,,38.3,,40.1,,37.7,,39.2,,41.2,,44.6,,34.2,,41,,45.1,
73,,,,,,,,,,,,,,,,,,,,,,,
74,C19,Malignant neoplasm of rectosigmoid junction,M,5.3,,5.6,,5.5,,5.3,,6.4,,4.9,,6,,5.2,,5,,4.4,
75,,,F,3,,3.8,,2.7,,3.3,,3.7,,2.7,,2.9,,3.1,,2.8,,2.5,
76,,,,,,,,,,,,,,,,,,,,,,,
77,C20,Malignant neoplasm of rectum,M,26.7,,33.9,,30.7,,28.3,,25.8,,27.6,,24.8,,22.2,,25.2,,26.2,
78,,,F,12.8,,13.1,,14.2,,12.9,,12.6,,12.4,,12.6,,11.6,,12.5,,13.3,
79,,,,,,,,,,,,,,,,,,,,,,,
80,C21,Malignant neoplasm of anus and anal canal,M,1.6,,1.4,u,1.9,,1.6,,1.5,,1.3,,1.2,,2.1,,1.7,,1.6,
81,,,F,2.5,,2.3,,2.7,,2.9,,2.7,,1.7,,2.8,,2.5,,2.2,,2.5,
82,,,,,,,,,,,,,,,,,,,,,,,
83,C22,Malignant neoplasm of liver and intrahepatic bile ducts,M,12.9,,17.6,,16.2,,14,,12.3,,14,,10.1,,12.3,,10.5,,12,
84,,,F,6,,7.2,,8.1,,6.1,,5.8,,6,,4.5,,5.6,,5.1,,6,
85,,,,,,,,,,,,,,,,,,,,,,,
86,C23,Malignant neoplasm of gallbladder,M,1.1,,1.4,u,1.2,,1.1,,1.3,,1.1,,1,,1,,0.9,,1.3,
87,,,F,2,,2.1,,2.4,,2.6,,2.4,,2.3,,1.9,,1.4,,1.7,,1.5,
88,,,,,,,,,,,,,,,,,,,,,,,
89,C24,Malignant neoplasm of other and unspecified parts of biliary tract,M,2.4,,4,,2.7,,2.5,,2.2,,2.1,,2.7,,2.2,,1.7,,2.4,
90,,,F,1.7,,2.9,,1.9,,2.2,,1.5,,1.9,,1.8,,1.7,,1.2,,1.2,
91,,,,,,,,,,,,,,,,,,,,,,,
92,C25,Malignant neoplasm of pancreas,M,18.3,,17.2,,18.7,,19.6,,16.4,,18,,18.6,,17.8,,18.6,,18.7,
93,,,F,14.7,,13.3,,14.6,,15.3,,14.9,,14.1,,15.6,,14.1,,14.6,,15.3,
94,,,,,,,,,,,,,,,,,,,,,,,
95,C26,Malignant neoplasm of other and ill-defined digestive organs,M,0.8,,,u,0.9,,0.7,u,1.2,,0.7,u,0.7,u,0.5,u,1,,0.8,
96,,,F,0.8,,,u,0.9,,0.9,,0.8,,1.1,,0.5,u,0.6,u,0.8,,1.2,
97,,,,,,,,,,,,,,,,,,,,,,,
98,C30,Malignant neoplasm of nasal cavity and middle ear,M,0.7,,,u,0.7,,0.7,u,0.6,u,0.9,,0.6,u,0.7,u,0.4,u,0.9,
99,,,F,0.4,,0.7,u,0.4,u,0.4,u,,u,0.3,u,0.4,u,0.6,u,0.3,u,0.6,
100,,,,,,,,,,,,,,,,,,,,,,,
101,C31,Malignant neoplasm of accessory sinuses,M,0.4,,,u,0.3,u,,u,,u,0.4,u,0.5,u,0.5,u,0.4,u,0.5,u
102,,,F,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,0.5,u
103,,,,,,,,,,,,,,,,,,,,,,,
104,C32,Malignant neoplasm of larynx,M,6.8,,9,,8.3,,6.6,,6.5,,6.8,,5.9,,8,,5.9,,5.6,
105,,,F,1.1,,1.5,,1.6,,1.4,,0.9,,1.2,,1,,1,,0.9,,0.9,
106,,,,,,,,,,,,,,,,,,,,,,,
107,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",M,92.5,,116.7,,116.6,,109.8,,88.8,,91.9,,80.4,,92.3,,77.4,,77.6,
108,,,F,64.4,,102.2,,85.9,,80.2,,61,,59.4,,52.7,,60,,50.5,,52.3,
109,,,,,,,,,,,,,,,,,,,,,,,
110,C33,Malignant neoplasm of trachea,M,0.1,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
111,,,F,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
112,,,,,,,,,,,,,,,,,,,,,,,
113,C34,Malignant neoplasm of bronchus and lung,M,92.4,,116.6,,116.6,,109.8,,88.6,,91.7,,80.4,,92.3,,77.4,,77.6,
114,,,F,64.3,,102.2,,85.8,,80.2,,61,,59.3,,52.6,,59.9,,50.5,,52.3,
115,,,,,,,,,,,,,,,,,,,,,,,
116,C37,Malignant neoplasm of thymus,M,0.3,,,u,0.3,u,,u,,u,,u,0.4,u,0.3,u,0.4,u,,u
117,,,F,0.3,,,u,,u,0.5,u,,u,,u,,u,0.4,u,0.3,u,,u
118,,,,,,,,,,,,,,,,,,,,,,,
119,C38,"Malignant neoplasm of heart, mediastinum and pleura",M,0.4,,,u,,u,,u,,u,0.4,u,0.4,u,,u,0.5,u,,u
120,,,F,0.1,,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u
121,,,,,,,,,,,,,,,,,,,,,,,
122,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,M,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
123,,,F,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
124,,,,,,,,,,,,,,,,,,,,,,,
125,C40,Malignant neoplasm of bone and articular cartilage of limbs,M,0.5,,,u,,u,0.6,u,0.6,u,0.4,u,0.7,u,0.6,,0.6,,0.6,u
126,,,F,0.5,,,u,0.4,u,0.4,u,0.5,u,0.6,u,0.3,u,0.4,u,0.4,,0.7,u
127,,,,,,,,,,,,,,,,,,,,,,,
128,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,M,0.5,,,u,0.3,u,0.4,u,0.5,u,,u,0.6,u,0.6,u,0.6,,0.4,u
129,,,F,0.4,,,u,0.5,u,,u,0.5,u,,u,0.4,u,0.3,u,0.4,u,0.5,u
130,,,,,,,,,,,,,,,,,,,,,,,
131,C43,Malignant melanoma of skin,M,26.7,,26.9,,26.5,,22.8,,26.1,,23.2,,25.9,,16.8,,31.6,,37.7,
132,,,F,23.5,,24.7,,24.4,,21.3,,21.1,,20.1,,23,,16.6,,28.6,,29.8,
133,,,,,,,,,,,,,,,,,,,,,,,
134,C45,Mesothelioma,M,8.9,,11.8,,10.1,,10.4,,6.6,,7,,9.8,,6,,9,,9.7,
135,,,F,1.5,,2,,1.5,,1.3,,1.3,,1.2,,1.7,,1.9,,1.4,,1.3,
136,,,,,,,,,,,,,,,,,,,,,,,
137,C46,Kaposi's sarcoma,M,0.5,,,u,0.3,u,,u,,u,,u,,u,1.9,,0.4,u,,u
138,,,F,0,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
139,,,,,,,,,,,,,,,,,,,,,,,
140,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,M,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u
141,,,F,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u
142,,,,,,,,,,,,,,,,,,,,,,,
143,C48,Malignant neoplasm of retroperitoneum and peritoneum,M,0.5,,,u,0.4,u,0.5,u,0.5,u,0.4,u,0.4,u,0.5,u,0.6,,0.8,u
144,,,F,2,,2.7,,1.4,,3.3,,2,,2,,2,,0.9,,1.7,,2.3,
145,,,,,,,,,,,,,,,,,,,,,,,
146,C49,Malignant neoplasm of other connective and soft tissue,M,3.9,,6,,4.7,,3.9,,3.1,,3.6,,3.2,,4.2,,3.2,,4.9,
147,,,F,2.5,,1.9,,2.7,,2.1,,2.4,,2.4,,2.8,,2.3,,2.6,,2.7,
148,,,,,,,,,,,,,,,,,,,,,,,
149,C50,Malignant neoplasm of breast,M,1.3,,1.3,u,1.3,,1.3,,0.8,u,1,,1.7,,1.4,,1.5,,1.4,
150,,,F,169.8,,162,,169.6,,162.9,,167.7,,169.6,,172.8,,159.8,,177.4,,178.9,
151,,,,,,,,,,,,,,,,,,,,,,,
152,C51,Malignant neoplasm of vulva,F,4,,4.4,,4.6,,4.3,,4.9,,3.9,,3.5,,3.1,,3.6,,4.2,
153,,,,,,,,,,,,,,,,,,,,,,,
154,C52,Malignant neoplasm of vagina,F,0.7,,0.7,u,0.6,,0.8,,,u,0.6,u,0.7,,0.8,,0.6,,0.8,
155,,,,,,,,,,,,,,,,,,,,,,,
156,C53,Malignant neoplasm of cervix uteri,F,9.8,,11.2,,11.2,,10.6,,9.6,,10.6,,10,,7.9,,9.2,,10.9,
157,,,,,,,,,,,,,,,,,,,,,,,
158,C54-C55,"Malignant neoplasm of corpus uteri and uterus, part unspecified",F,29,,25.7,,27.9,,26.3,,29.8,,31.8,,28.7,,31.8,,27.1,,31.3,
159,,,,,,,,,,,,,,,,,,,,,,,
160,C54,Malignant neoplasm of corpus uteri,F,28.4,,25.1,,27.3,,26,,29.1,,31.2,,28.5,,30.7,,26.5,,30.5,
161,,,,,,,,,,,,,,,,,,,,,,,
162,C55,"Malignant neoplasm of uterus, part unspecified",F,0.6,,,u,0.5,u,,u,0.6,u,0.6,u,,u,1.1,,0.6,,0.8,
163,,,,,,,,,,,,,,,,,,,,,,,
164,C56-C57,Malignant neoplasm of ovary and other unspecified female genital organs,F,23.8,,22.9,,25.8,,21.2,,21.5,,25.6,,24.4,,21.7,,24.1,,25.2,
165,,,,,,,,,,,,,,,,,,,,,,,
166,C56,Malignant neoplasm of ovary,F,22.5,,21.5,,25,,19.9,,20.1,,24.1,,23.5,,20.6,,22.7,,23.2,
167,,,,,,,,,,,,,,,,,,,,,,,
168,C57,Malignant neoplasm of other and unspecified female genital organs,F,1.3,,1.3,u,0.8,,1.3,,1.5,,1.5,,0.9,,1.1,,1.4,,2,
169,,,,,,,,,,,,,,,,,,,,,,,
170,C583,Malignant neoplasm of placenta,F,0.3,,,u,,u,,u,,u,,u,,u,0.5,u,0.3,u,,u
171,,,,,,,,,,,,,,,,,,,,,,,
172,C60,Malignant neoplasm of penis,M,2.2,,2.5,,2.5,,1.9,,2.3,,2.3,,1.6,,2.3,,2.2,,2.3,
173,,,,,,,,,,,,,,,,,,,,,,,
174,C61,Malignant neoplasm of prostate,M,185.7,,154.2,,174.3,,181.4,,177.6,,188.8,,196.6,,187.5,,201.2,,184,
175,,,,,,,,,,,,,,,,,,,,,,,
176,C62,Malignant neoplasm of testis,M,7.2,,7.8,,7.8,,7.6,,7,,7.4,,7.8,,5.4,,7.5,,8.2,
177,,,,,,,,,,,,,,,,,,,,,,,
178,C63,Malignant neoplasm of other and unspecified male genital organs,M,0.3,,,u,,u,,u,,u,,u,,u,,u,0.3,u,,u
179,,,,,,,,,,,,,,,,,,,,,,,
180,C64,"Malignant neoplasm of kidney, except renal pelvis",M,23.8,,26.1,,25.1,,25.7,,20.8,,22.5,,22.8,,23.4,,23.4,,25.1,
181,,,F,12.1,,13,,14.8,,14,,10.3,,12,,9.4,,11.6,,10.7,,13.5,
182,,,,,,,,,,,,,,,,,,,,,,,
183,C65,Malignant neoplasm of renal pelvis,M,1.9,,2.2,,2.1,,2.4,,2.2,,1.8,,2.3,,1.4,,1.6,,1.7,
184,,,F,0.9,,1.2,u,1.4,,1.1,,1,,1,,0.7,,0.7,,0.9,,0.6,u
185,,,,,,,,,,,,,,,,,,,,,,,
186,C66,Malignant neoplasm of ureter,M,1.7,,2.3,,1.7,,1.8,,1,,1.6,,1.7,,1.2,,1.7,,2.1,
187,,,F,0.7,,1.2,u,0.8,,0.6,u,0.7,u,0.7,u,0.6,u,0.8,,0.7,,0.8,
188,,,,,,,,,,,,,,,,,,,,,,,
189,C67,Malignant neoplasm of bladder,M,30.3,,31.3,,32.2,,32.1,,28.9,,33.3,,28.7,,27.4,,29.3,,30.7,
190,,,F,8.9,,10.3,,10.9,,8.7,,8,,8.9,,8.4,,8.6,,7.5,,9.6,
191,,,,,,,,,,,,,,,,,,,,,,,
192,C68,Malignant neoplasm of other and unspecified urinary organs,M,0.7,,1.2,u,0.5,u,0.9,u,0.7,u,0.6,u,0.8,,0.7,u,0.7,,0.8,
193,,,F,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u
194,,,,,,,,,,,,,,,,,,,,,,,
195,C69,Malignant neoplasm of eye and adnexa,M,1.3,,1.1,u,1.8,,1.1,,1.6,,1.7,,1.4,,0.8,,1,,1.2,
196,,,F,0.9,,1.5,,1.3,,1,,0.9,,0.7,,1,,0.7,,0.7,,1.1,
197,,,,,,,,,,,,,,,,,,,,,,,
198,C70,Malignant neoplasm of meninges,M,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u
199,,,F,0.2,,,u,,u,,u,,u,,u,,u,0.3,u,0.4,u,,u
200,,,,,,,,,,,,,,,,,,,,,,,
201,C71,Malignant neoplasm of brain,M,10.6,,12.1,,9.6,,11.9,,10.8,,10.6,,11.6,,9.5,,10.1,,10.5,
202,,,F,6.8,,7.8,,7,,7.2,,7.2,,5.9,,6.8,,6,,6.6,,7.2,
203,,,,,,,,,,,,,,,,,,,,,,,
204,C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",M,0.3,,,u,0.3,u,,u,,u,,u,0.4,u,,u,0.3,u,,u
205,,,F,0.2,,,u,,u,0.4,u,,u,,u,,u,,u,0.4,u,,u
206,,,,,,,,,,,,,,,,,,,,,,,
207,C73,Malignant neoplasm of thyroid gland,M,3.1,,3.9,,3.5,,3.5,,2.5,,3.2,,2.3,,3.6,,3,,2.4,
208,,,F,7.7,,8.1,,9.5,,7.8,,6.8,,7.5,,6.2,,8.3,,8.1,,6.5,
209,,,,,,,,,,,,,,,,,,,,,,,
210,C74,Malignant neoplasm of adrenal gland,M,0.4,,,u,0.4,u,,u,,u,,u,0.3,u,0.4,u,0.5,,,u
211,,,F,0.3,,,u,0.3,u,0.3,u,,u,0.4,u,,u,0.4,u,0.3,u,,u
212,,,,,,,,,,,,,,,,,,,,,,,
213,C75,Malignant neoplasm of other endocrine glands and related structures,M,0.2,,,u,,u,,u,,u,,u,,u,,u,0.3,u,,u
214,,,F,0.2,,,u,,u,,u,,u,,u,,u,,u,0.3,u,,u
215,,,,,,,,,,,,,,,,,,,,,,,
216,C76,Malignant neoplasm of other and ill-defined sites,M,0.3,,,u,,u,,u,,u,,u,0.4,u,,u,,u,0.6,u
217,,,F,0.5,,0.8,u,0.5,u,0.7,u,0.4,u,0.6,u,0.3,u,,u,0.3,u,0.9,
218,,,,,,,,,,,,,,,,,,,,,,,
219,C77,Secondary and unspecified malignant neoplasm of lymph nodes,M,1.9,,1.8,,2.4,,2.2,,2.3,,1,,2,,1.9,,1.6,,1.6,
220,,,F,0.9,,0.9,u,1.1,,0.8,,1.1,,0.4,u,0.9,,1.1,,1,,0.9,
221,,,,,,,,,,,,,,,,,,,,,,,
222,C78,Secondary malignant neoplasm of respiratory and digestive organs,M,4.5,,6.6,,5.6,,4.8,,6.4,,1.5,,4.4,,4.6,,3.9,,3.9,
223,,,F,4.3,,6.9,,6,,5.1,,6.8,,1.4,,3.6,,3.7,,4.1,,2.9,
224,,,,,,,,,,,,,,,,,,,,,,,
225,C79,Secondary malignant neoplasm of other sites,M,1.8,,2.3,,2.4,,1.5,,2.5,,0.4,u,2.1,,2,,1.7,,1.8,
226,,,F,1.5,,1.4,,2.1,,1.7,,2.4,,0.5,u,1.3,,2.4,,1.1,,1.1,
227,,,,,,,,,,,,,,,,,,,,,,,
228,C80,Malignant neoplasm without specification of site,M,9.2,,12.9,,6,,9.6,,7.4,,16.9,,8.3,,8.7,,9.1,,6.9,
229,,,F,7.9,,10.3,,5.4,,7.3,,6,,14.7,,7.6,,8.1,,7.6,,6,
230,,,,,,,,,,,,,,,,,,,,,,,
231,C81,Hodgkin's disease,M,3.6,,3.3,,3.6,,3.6,,3.3,,3.6,,3.3,,3.7,,3.6,,3.6,
232,,,F,2.7,,2.5,,2.7,,2.3,,2.1,,2.4,,2.8,,3.3,,2.8,,2.9,
233,,,,,,,,,,,,,,,,,,,,,,,
234,C82-C85,Non-Hodgkin's lymphoma,M,27.6,,23.7,,26.1,,26.1,,31.6,,24.1,,29.1,,27.9,,28.4,,29.5,
235,,,F,19.9,,18.2,,18,,18.3,,21.4,,19.4,,21.2,,20.6,,20.9,,20.3,
236,,,,,,,,,,,,,,,,,,,,,,,
237,C82,Follicular (nodular) non-Hodgkin's lymphoma,M,4.2,,4.2,,4.4,,3.8,,4.3,,3.6,,4,,4.1,,4.1,,5.2,
238,,,F,4.2,,3.5,,4.3,,3.9,,4.3,,3.7,,4.3,,4.2,,4.8,,4.5,
239,,,,,,,,,,,,,,,,,,,,,,,
240,C83,Diffuse non-Hodgkin's lymphoma,M,15.7,,13.7,,14.3,,15.2,,17.7,,13.6,,17.6,,15.4,,16.4,,16.5,
241,,,F,10.1,,9.5,,8.9,,9.8,,10.9,,9.6,,11.6,,9.8,,10.6,,10.1,
242,,,,,,,,,,,,,,,,,,,,,,,
243,C84,Peripheral and cutaneous T-cell lymphomas,M,1.8,,1.6,u,2.2,,1.4,,2.3,,1.6,,1.7,,1.4,,1.8,,2.3,
244,,,F,1.2,,1.9,,1,,0.9,,1.1,,1.6,,1.2,,1,,1.2,,1.4,
245,,,,,,,,,,,,,,,,,,,,,,,
246,C85,Other and unspecified types of non-Hodgkin's lymphoma,M,5.9,,4.1,,5.3,,5.6,,7.4,,5.3,,5.9,,7,,6,,5.5,
247,,,F,4.4,,3.3,,3.8,,3.7,,5.1,,4.5,,4.1,,5.6,,4.3,,4.3,
248,,,,,,,,,,,,,,,,,,,,,,,
249,C88,Malignant immunoproliferative diseases,M,0.7,,,u,0.7,u,,u,0.8,u,1.5,,,u,0.7,u,0.5,u,0.8,
250,,,F,0.3,,,u,,u,,u,,u,,u,,u,0.4,u,0.4,u,0.6,u
251,,,,,,,,,,,,,,,,,,,,,,,
252,C90,Multiple myeloma and malignant plasma cell neoplasms,M,12.4,,11.2,,10.4,,12.9,,11.4,,11.6,,12.8,,15.8,,12.7,,12.6,
253,,,F,7.6,,7.4,,6,,7.8,,7.4,,8.3,,7.1,,9.6,,7.5,,7.9,
254,,,,,,,,,,,,,,,,,,,,,,,
255,C91-C95,Leukaemia,M,21.5,,18.7,,19.2,,24.3,,25.1,,23.4,,19.7,,19.5,,21.4,,21.8,
256,,,F,11.8,,10.3,,10.5,,12.6,,12.7,,12.8,,11,,10.7,,12.4,,12.9,
257,,,,,,,,,,,,,,,,,,,,,,,
258,C91,Lymphoid leukaemia,M,11.2,,8.9,,10.3,,13.4,,13.7,,12.4,,9.5,,10.4,,10.7,,11.4,
259,,,F,5.8,,4.3,,5.3,,6.8,,5.9,,6.9,,4.9,,5.3,,6.2,,6.4,
260,,,,,,,,,,,,,,,,,,,,,,,
261,C92,Myeloid leukaemia,M,9.5,,9.1,,8.3,,10,,10.4,,10,,9.2,,8.5,,9.7,,9.8,
262,,,F,5.6,,5.5,,4.9,,5.5,,6.5,,5.3,,5.8,,5,,5.8,,6.1,
263,,,,,,,,,,,,,,,,,,,,,,,
264,C93,Monocytic leukaemia,M,0.1,,,u,,u,,u,,u,,u,0.5,u,,u,,u,,u
265,,,F,0,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
266,,,,,,,,,,,,,,,,,,,,,,,
267,C94,Other leukaemias of specified cell type,M,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u
268,,,F,0.1,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
269,,,,,,,,,,,,,,,,,,,,,,,
270,C95,Leukaemia of unspecified cell type,M,0.5,,,u,0.4,u,0.5,u,,u,0.7,u,,u,0.5,u,0.7,,,u
271,,,F,0.3,,,u,0.4,u,,u,,u,0.4,u,,u,,u,0.4,u,,u
272,,,,,,,,,,,,,,,,,,,,,,,
273,C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",M,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u
274,,,F,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u
275,,,,,,,,,,,,,,,,,,,,,,,
