,Unnamed: 0,Contents,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
45,,C10,Malignant neoplasm of oropharynx,Females,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.3,u,0.7,u,0.9,u,0.5,u,0.8,u,1.1,u,,u,0.9,u
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,C11,Malignant neoplasm of nasopharynx,Males,0.3,,0.3,,,u,,u,,u,,u,,u,,u,0.2,u,,u,,u,0.2,u,0.4,u,0.2,u,0.9,u,0.6,u,0.8,u,0.7,u,0.7,u,,u,2.2,u,,u
48,,C11,Malignant neoplasm of nasopharynx,Females,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,,u,,u,,u,0.4,u,,u,1.2,u,0.9,u
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,C12,Malignant neoplasm of pyriform sinus,Males,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.2,u,0.6,u,0.5,u,0.5,u,0.7,u,0.7,u,1,u,,u
51,,C12,Malignant neoplasm of pyriform sinus,Females,0,u,0,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u,,u,,u,,u,,u
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,C13,Malignant neoplasm of hypopharynx,Males,0.4,,0.4,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.4,u,1,u,1.4,,1.4,,1,u,1.1,u,0.7,u,1.9,u,2.9,u
54,,C13,Malignant neoplasm of hypopharynx,Females,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.3,u,0.3,u,0.6,u,,u,0.8,u,,u
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Males,0.5,,0.4,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.3,u,0.4,u,1.1,u,1.7,,1.6,u,2.3,u,1.6,u,3.2,u,5,u
57,,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Females,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.4,u,0.4,u,0.3,u,0.3,u,0.8,u,1.2,u,1.4,u,,u
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,C15,Malignant neoplasm of oesophagus,Males,19.9,,16.5,,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.7,u,2,,4.2,,7.8,,21.3,,33.9,,51.6,,72.6,,77.6,,106.4,,119.7,,135.4,
60,,C15,Malignant neoplasm of oesophagus,Females,7.2,,7.3,,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.7,u,1.1,,2.5,,4.8,,10.1,,12.6,,22.1,,32.4,,46.2,,69.3,,68.1,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,C16,Malignant neoplasm of stomach,Males,10.6,,8.5,,,u,,u,,u,,u,,u,,u,0.3,u,0.2,u,0.9,u,1.4,,2.5,,4.1,,6.4,,11.3,,17.4,,30.9,,50.5,,70.7,,98.3,,105.5,
63,,C16,Malignant neoplasm of stomach,Females,4.4,,4.5,,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.9,u,0.7,u,1.2,,1.9,,3.9,,5,,6,,11,,18.8,,31.8,,43.7,,43,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,C17,Malignant neoplasm of small intestine,Males,1.1,,0.9,,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u,,u,0.3,u,0.4,u,0.6,u,0.8,u,2.3,,4.1,,4.2,,5.4,,10.9,,10,u
66,,C17,Malignant neoplasm of small intestine,Females,0.7,,0.7,,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.2,u,0.2,u,0.3,u,0.5,u,0.7,u,1.9,,2.4,,2.7,,3.6,,4.7,,3.6,u
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,C18-C20,Malignant neoplasm of colon and rectum,Males,32.9,,26.4,,,u,,u,,u,,u,,u,0.3,u,0.4,u,1.5,,2.5,,4,,5.8,,12.7,,24.3,,40.3,,57.6,,87.9,,131.8,,213.3,,313.4,,410.4,
69,,C18-C20,Malignant neoplasm of colon and rectum,Females,21.2,,21.7,,,u,,u,,u,,u,,u,0.2,u,0.4,u,1.2,,2.5,,2.7,,5.6,,10.2,,15.3,,23.7,,34.2,,53.7,,80.4,,139.8,,215,,264.8,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,C18,Malignant neoplasm of colon,Males,18.3,,14.6,,,u,,u,,u,,u,,u,,u,0.2,u,0.8,u,1.1,u,2,,2.9,,6.3,,12.6,,20.2,,29.1,,47,,72.9,,130.3,,186.6,,240.1,
72,,C18,Malignant neoplasm of colon,Females,13.3,,13.7,,,u,,u,,u,,u,,u,,u,0.3,u,0.7,u,1.6,,1.7,,3.1,,5.6,,8.6,,13,,20.4,,33.4,,51,,90.8,,141.4,,182.9,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,C19,Malignant neoplasm of rectosigmoid junction,Males,5.6,,4.6,,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.8,u,0.8,u,1.4,,2.5,,4.6,,8,,10.4,,16.4,,23.6,,34.5,,44.5,,57,
75,,C19,Malignant neoplasm of rectosigmoid junction,Females,3.4,,3.4,,,u,,u,,u,,u,,u,,u,,u,,u,0.7,u,0.6,u,1.3,,2.6,,3.1,,5.3,,7,,9.5,,12.5,,20.3,,27.6,,24.8,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,C20,Malignant neoplasm of rectum,Males,8.9,,7.2,,,u,,u,,u,,u,,u,0.2,u,,u,0.4,u,0.7,u,1.1,,1.6,,3.8,,7.1,,12.1,,18,,24.5,,35.3,,48.5,,82.3,,113.3,
78,,C20,Malignant neoplasm of rectum,Females,4.4,,4.6,,,u,,u,,u,,u,,u,,u,,u,0.4,u,0.3,u,0.4,u,1.2,,1.9,,3.6,,5.4,,6.9,,10.9,,17,,28.8,,46.1,,57.1,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,C21,Malignant neoplasm of anus and anal canal,Males,0.5,,0.4,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.4,u,1.2,u,1,u,0.9,u,1.4,u,1.2,u,2.1,u,2.2,u,2.1,u
81,,C21,Malignant neoplasm of anus and anal canal,Females,0.7,,0.7,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.5,u,0.6,u,0.9,u,0.7,u,1.7,,2,,2.1,,2.9,,5.1,,6.3,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,C22,Malignant neoplasm of liver and intrahepatic bile ducts,Males,11.1,,9.2,,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.4,u,0.9,u,1.8,,5.1,,9.3,,18.5,,24.9,,36.4,,51.4,,64,,79.7,,68.4,
84,,C22,Malignant neoplasm of liver and intrahepatic bile ducts,Females,6,,6.1,,,u,,u,,u,,u,0.2,u,,u,0.2,u,,u,0.4,u,0.7,u,1.3,,2.7,,4.5,,6.7,,11.5,,18.1,,27.2,,45.6,,48.6,,46.3,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,C23,Malignant neoplasm of gallbladder,Males,0.6,,0.5,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.3,u,0.6,u,0.6,u,1,u,1.5,u,2.6,,5.4,,5.8,u,4.3,u
87,,C23,Malignant neoplasm of gallbladder,Females,1.2,,1.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.5,u,1.2,,1.8,,3.3,,3.2,,4.7,,9.5,,8.7,,8.1,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,C24,Malignant neoplasm of other and unspecified parts of biliary tract,Males,0.7,,0.5,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.4,u,0.4,u,0.6,u,1.2,u,1.8,u,2,u,4.7,,7.7,,11.4,u
90,,C24,Malignant neoplasm of other and unspecified parts of biliary tract,Females,0.5,,0.5,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.2,u,0.2,u,0.3,u,0.8,u,1.6,u,2.5,,3.6,,6.7,,5.4,u
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,C25,Malignant neoplasm of pancreas,Males,16.8,,13.9,,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,1.6,,3.3,,8.4,,15.2,,25.4,,39.9,,57.2,,75.8,,99.9,,109.2,,106.9,
93,,C25,Malignant neoplasm of pancreas,Females,13.5,,13.4,,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,1.3,,2.8,,6.1,,10.6,,21.3,,29.1,,43.8,,61.5,,82,,95.1,,109.4,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,C26,Malignant neoplasm of other and ill-defined digestive organs,Males,6.6,,5.2,,,u,,u,,u,,u,,u,0.2,u,,u,0.2,u,0.3,u,0.5,u,1,,1.6,,4,,6.9,,9,,17.7,,26.1,,47.8,,71.7,,96.2,
96,,C26,Malignant neoplasm of other and ill-defined digestive organs,Females,4.5,,4.6,,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.5,u,0.4,u,1.5,,1.8,,3.3,,4,,6.6,,11.3,,18,,27.8,,46.5,,65.7,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,C30,Malignant neoplasm of nasal cavity and middle ear,Males,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.5,u,0.3,u,,u,0.5,u,,u,,u
99,,C30,Malignant neoplasm of nasal cavity and middle ear,Females,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u,,u,,u,,u,,u,,u,,u,,u
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,C31,Malignant neoplasm of accessory sinuses,Males,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.2,u,0.2,u,0.3,u,0.5,u,0.6,u,0.4,u,1.4,u,1.6,u,2.1,u
102,,C31,Malignant neoplasm of accessory sinuses,Females,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u,,u,,u,0.2,u,0.3,u,0.3,u,0.4,u,1.3,u,,u,1.5,u
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,C32,Malignant neoplasm of larynx,Males,2.5,,2,,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.4,u,0.3,u,1.2,,2,,3.7,,5.9,,9.5,,9.6,,9.6,,17.9,,27.1,
105,,C32,Malignant neoplasm of larynx,Females,0.5,,0.5,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.7,u,1,u,0.8,u,1.9,,1.8,u,2.8,,2.8,u,2.7,u
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Males,70.1,,57.4,,,u,,u,,u,,u,,u,0.2,u,,u,0.4,u,1,u,3.5,,8.8,,23.1,,49.3,,102.3,,159.6,,243.2,,347.1,,421.6,,493.3,,535.1,
108,,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Females,48.2,,47.1,,,u,,u,,u,,u,,u,,u,0.2,u,0.5,u,1.3,,3.4,,8.4,,20.1,,41.2,,79.6,,124.2,,181.3,,223.6,,271.9,,280.9,,248,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,C33,Malignant neoplasm of trachea,Males,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
111,,C33,Malignant neoplasm of trachea,Females,0,u,0,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u,,u,,u,,u,,u
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,C34,Malignant neoplasm of bronchus and lung,Males,70,,57.3,,,u,,u,,u,,u,,u,0.2,u,,u,0.4,u,1,u,3.4,,8.8,,23,,49.3,,102.2,,159.5,,243.1,,347,,421.6,,493.3,,535.1,
114,,C34,Malignant neoplasm of bronchus and lung,Females,48.1,,47.1,,,u,,u,,u,,u,,u,,u,0.2,u,0.5,u,1.3,,3.4,,8.3,,20,,41.2,,79.6,,124,,181.2,,223.4,,271.6,,280.7,,248,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,C37,Malignant neoplasm of thymus,Males,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u,0.3,u,0.3,u,0.4,u,,u,,u,,u,,u
117,,C37,Malignant neoplasm of thymus,Females,0.1,u,0.1,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.4,u,0.4,u,,u,,u
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,C38,"Malignant neoplasm of heart, mediastinum and pleura",Males,0.2,,0.2,,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u,0.2,u,,u,,u,,u,0.3,u,0.9,u,0.6,u,1,u,1.9,u,,u
120,,C38,"Malignant neoplasm of heart, mediastinum and pleura",Females,0.1,,0.1,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.3,u,,u,0.5,u,1.6,u,1.2,u
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Males,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
123,,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Females,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,C40,Malignant neoplasm of bone and articular cartilage of limbs,Males,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,,u,,u,,u,,u,,u,,u,,u,,u
126,,C40,Malignant neoplasm of bone and articular cartilage of limbs,Females,0,u,0,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Males,0.7,,0.6,,,u,,u,,u,0.3,u,0.8,u,0.5,u,0.5,u,0.3,u,0.2,u,,u,0.5,u,0.6,u,0.7,u,0.6,u,1.4,,1,u,1.3,u,2.4,u,1.6,u,6.4,u
129,,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Females,0.4,,0.4,,,u,,u,0.2,u,,u,0.4,u,0.3,u,,u,,u,,u,0.2,u,,u,0.4,u,0.5,u,0.4,u,0.6,u,0.9,u,1,u,1.2,u,1.4,u,3.9,u
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,C43,Malignant melanoma of skin,Males,5.6,,4.6,,,u,,u,,u,,u,,u,0.2,u,0.4,u,0.8,u,1.3,,1.9,,2,,3.3,,5.4,,7,,11.3,,16.3,,21.1,,29.6,,35.2,,54.9,
132,,C43,Malignant melanoma of skin,Females,3,,3,,,u,,u,,u,,u,,u,,u,0.6,u,0.4,u,0.8,u,1.4,,1.8,,2.2,,2.4,,4.9,,6,,8,,9.6,,14.2,,17.7,,30.2,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,C443,Other malignant neoplasms of skin,Males,2,,1.5,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.4,u,0.6,u,1.4,,2,,3.8,,5.1,,15.6,,24,,52.7,
135,,C443,Other malignant neoplasms of skin,Females,0.8,,0.8,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.2,u,0.2,u,0.5,u,0.5,u,1,u,1.3,u,2.4,,4,,9.8,,20.3,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,C45,Mesothelioma,Males,8.4,,6.8,,,u,,u,,u,,u,,u,,u,,u,,u,,u,,u,0.3,u,0.4,u,2.5,,9.1,,19.2,,33.9,,46.7,,60.7,,63.4,,53.4,
